measure_date,best_before,taste,buyer,silver
2018-07-28,2019-01-01,0,B,0
2018-07-28,2019-01-01,0,B,0
2018-07-28,2019-01-01,0,B,0
2018-08-01,2019-02-01,0,A,0
2018-08-01,2019-02-01,0,A,0
2018-08-01,2019-02-01,0,A,0
2018-08-03,2019-01-01,0,B,0
2018-08-03,2019-01-01,0,B,0
2018-08-04,2019-05-01,8,A,0
2018-08-04,2019-05-01,8,A,0
2018-08-04,2019-05-01,8,A,0
2018-08-05,2019-02-01,0,A,0
2018-08-05,2019-02-01,0,A,0
2018-08-08,2019-01-01,0,B,0
2018-08-08,2019-01-01,0,B,0
2018-08-09,2019-02-01,0,A,0
2018-08-09,2019-02-01,0,A,0
2018-08-27,2019-02-01,0,A,0
2018-08-27,2019-02-01,0,A,0
2018-08-29,2019-01-01,0,B,0
2018-09-05,2019-06-01,9,B,0
2018-09-05,2019-06-01,9,B,0
2018-09-13,2019-03-01,0,A,0
2018-09-13,2019-02-01,0,A,0
2018-09-22,2019-03-01,0,A,0
2018-09-22,2019-02-01,0,A,0
2018-09-23,2019-03-01,0,A,0
2018-09-23,2019-03-01,0,A,0
2018-10-18,2019-04-01,0,C,0
2018-10-18,2019-03-01,0,A,0
2018-10-22,2019-04-01,0,B,0
2018-10-22,2019-04-01,0,B,0
2018-10-24,2019-06-01,9,C,0
2018-10-24,2019-06-01,9,C,0
2018-10-24,2019-05-01,0,C,0
2018-10-25,2019-03-01,0,B,0
2018-10-25,2019-03-01,0,B,0
2018-10-25,2019-05-01,0,C,0
2018-10-31,2019-03-01,0,B,0
2018-10-31,2019-03-01,0,B,1
2018-10-31,2019-03-01,0,B,0
2018-10-31,2019-03-01,0,B,0
2018-11-06,2019-09-01,11,C,0
2018-11-06,2019-09-01,11,A,0
2018-11-06,2019-09-01,11,A,0
2018-11-06,2019-09-01,11,A,0
2018-11-07,2019-05-01,0,C,0
2018-11-07,2019-05-01,0,C,0
2018-11-07,2019-06-01,0,A,0
2018-11-07,2019-06-01,0,A,0
2018-11-08,2019-09-01,11,A,0
2018-11-08,2019-09-01,11,A,0
2018-11-08,2019-09-01,11,A,0
2018-11-09,2019-09-01,0,B,0
2018-11-09,2019-09-01,0,B,0
2018-11-09,2019-09-01,0,B,0
2018-11-13,2019-09-01,11,A,0
2018-11-13,2019-09-01,11,A,0
2018-11-14,2019-06-01,0,A,0
2018-11-14,2019-05-01,0,B,0
2018-11-14,2019-05-01,0,B,0
2018-11-17,2019-09-01,11,A,0
2018-11-17,2019-09-01,11,A,0
2018-11-17,2019-09-01,11,A,0
2018-11-18,2019-05-01,0,B,0
2018-11-18,2019-05-01,0,B,0
2018-11-18,2019-06-01,0,B,0
2018-11-18,2019-06-01,0,C,0
2018-11-18,2019-06-01,0,C,0
2018-11-22,2019-06-01,0,B,0
2018-11-22,2019-06-01,0,B,0
2018-11-22,2019-06-01,0,B,0
2018-11-25,2019-09-01,12,C,0
2018-11-25,2019-09-01,12,A,0
2018-11-25,2019-09-01,12,A,0
2018-11-25,2019-09-01,1,A,0
2018-11-26,2019-07-01,0,A,0
2018-11-26,2019-07-01,0,A,0
2018-11-26,2019-06-01,0,A,0
2018-11-26,2019-07-01,0,A,0
2018-11-28,2019-09-01,11,A,0
